shipper_id,employee_id,product_id,customer_id,order_id,prix_unitaire,quantite,discount,sous_total,order_date,required_date,shipped_date,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,is_shipped,customer_company_name,customer_contact_name,customer_contact_title,customer_address,customer_city,customer_region,customer_postal_code,customer_country,customer_phone,customer_fax,category_id,product_name,supplier_id,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,en_stock,category_name,category_description,picture,employee_first_name,employee_last_name,employee_title,employee_hire_date,employee_city,employee_country,employee_full_name,shipper_name,shipper_phone
1,1,5,ERNSH,10258,17.0,65,0.2,884.0,1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,true,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,AUSTRIA,7675-3425,7675-3426,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,Speedy Express,(503) 555-9831
3,8,5,RATTC,10262,17.0,12,0.2,163.2,1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,true,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,Federal Shipping,(503) 555-9931
1,8,5,COMMI,10290,17.0,20,0.0,340.0,1996-08-27,1996-09-24,1996-09-03,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,true,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,BRAZIL,(11) 555-7647,,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,Speedy Express,(503) 555-9831
1,4,5,ERNSH,10382,17.0,32,0.0,544.0,1996-12-13,1997-01-10,1996-12-16,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,true,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,AUSTRIA,7675-3425,7675-3426,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Speedy Express,(503) 555-9831
3,8,5,MAGAA,10635,21.35,15,0.1,288.23,1997-08-18,1997-09-15,1997-08-21,47.46,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,true,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,ITALY,035-640230,035-640231,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,Federal Shipping,(503) 555-9931
2,6,5,THEBI,10708,21.35,4,0.0,85.4,1997-10-17,1997-11-28,1997-11-05,2.96,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA,true,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Michael,Suyama,Sales Representative,1993-10-17,London,UK,Michael Suyama,United Package,(503) 555-3199
2,7,5,CONSH,10848,21.35,30,0.0,640.5,1998-01-23,1998-02-20,1998-01-29,38.24,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,true,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,United Package,(503) 555-3199
2,7,5,OCEAN,10958,21.35,20,0.0,427.0,1998-03-18,1998-04-15,1998-03-27,49.56,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,true,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,ARGENTINA,(1) 135-5333,(1) 135-5535,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,United Package,(503) 555-3199
2,7,5,SAVEA,11030,21.35,70,0.0,1494.5,1998-04-17,1998-05-15,1998-04-27,830.75,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,true,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,United Package,(503) 555-3199
3,7,5,EASTC,11047,21.35,30,0.25,480.38,1998-04-24,1998-05-22,1998-05-01,46.62,Eastern Connection,35 King George,London,,WX3 6FW,UK,true,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,2,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,false,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,Federal Shipping,(503) 555-9931
