shipper_id,employee_id,product_id,customer_id,order_id,prix_unitaire,quantite,discount,sous_total,order_date,required_date,shipped_date,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,is_shipped,customer_company_name,customer_contact_name,customer_contact_title,customer_address,customer_city,customer_region,customer_postal_code,customer_country,customer_phone,customer_fax,category_id,product_name,supplier_id,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,en_stock,category_name,category_description,picture,employee_first_name,employee_last_name,employee_title,employee_hire_date,employee_city,employee_country,employee_full_name,shipper_name,shipper_phone
3,9,30,ERNSH,10263,20.7,60,0.25,931.5,1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,true,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,AUSTRIA,7675-3425,7675-3426,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Anne,Dodsworth,Sales Representative,1994-11-15,London,UK,Anne Dodsworth,Federal Shipping,(503) 555-9931
1,4,30,ROMEY,10282,20.7,6,0.0,124.2,1996-08-15,1996-09-12,1996-08-21,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,true,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,,28001,SPAIN,(91) 745 6200,(91) 745 6210,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Speedy Express,(503) 555-9831
3,1,30,ROMEY,10306,20.7,10,0.0,207.0,1996-09-16,1996-10-14,1996-09-23,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,true,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,,28001,SPAIN,(91) 745 6200,(91) 745 6210,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,Federal Shipping,(503) 555-9931
1,2,30,FOLKO,10327,20.7,35,0.2,579.6,1996-10-11,1996-11-08,1996-10-14,63.36,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,true,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,SWEDEN,0695-34 67 21,,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Andrew,Fuller,"Vice President, Sales",1992-08-14,Tacoma,USA,Andrew Fuller,Speedy Express,(503) 555-9831
2,4,30,SPLIR,10329,20.7,8,0.05,157.32,1996-10-15,1996-11-26,1996-10-23,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,true,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,United Package,(503) 555-3199
3,4,30,OLDWO,10338,20.7,15,0.0,310.5,1996-10-25,1996-11-22,1996-10-29,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,true,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Federal Shipping,(503) 555-9931
3,8,30,HUNGO,10380,20.7,18,0.1,335.34,1996-12-12,1997-01-09,1997-01-16,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,true,Hungry Owl All-Night Grocers,Patricia Mckenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,IRELAND,2967 542,2967 3333,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,Federal Shipping,(503) 555-9931
1,1,30,RATTC,10401,20.7,18,0.0,372.6,1997-01-01,1997-01-29,1997-01-10,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,true,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,Speedy Express,(503) 555-9831
3,1,30,LILAS,10461,20.7,28,0.25,434.7,1997-02-28,1997-03-28,1997-03-05,148.61,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,true,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,VENEZUELA,(9) 331-6954,(9) 331-7256,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,Federal Shipping,(503) 555-9931
3,3,30,KOENE,10468,20.7,8,0.0,165.6,1997-03-07,1997-04-04,1997-03-12,44.12,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,true,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,GERMANY,0555-09876,,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Janet,Leverling,Sales Representative,1992-04-01,Kirkland,USA,Janet Leverling,Federal Shipping,(503) 555-9931
1,4,30,LEHMS,10522,25.89,20,0.2,414.24,1997-04-30,1997-05-28,1997-05-06,45.33,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,true,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,GERMANY,069-0245984,069-0245874,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Speedy Express,(503) 555-9831
2,1,30,BERGS,10524,25.89,10,0.0,258.9,1997-05-01,1997-05-29,1997-05-07,244.79,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,true,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,SWEDEN,0921-12 34 65,0921-12 34 67,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,United Package,(503) 555-3199
3,7,30,EASTC,10532,25.89,15,0.0,388.35,1997-05-09,1997-06-06,1997-05-12,74.46,Eastern Connection,35 King George,London,,WX3 6FW,UK,true,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,Federal Shipping,(503) 555-9931
2,8,30,LEHMS,10534,25.89,10,0.0,258.9,1997-05-12,1997-06-09,1997-05-14,27.94,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,true,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,GERMANY,069-0245984,069-0245874,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,United Package,(503) 555-3199
1,8,30,FRANK,10560,25.89,20,0.0,517.8,1997-06-06,1997-07-04,1997-06-09,36.65,Frankenversand,Berliner Platz 43,München,,80805,Germany,true,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,GERMANY,089-0877310,089-0877451,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,Speedy Express,(503) 555-9831
3,5,30,FAMIA,10650,25.89,30,0.0,776.7,1997-08-29,1997-09-26,1997-09-03,176.81,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,true,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,BRAZIL,(11) 555-9857,,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Steven,Buchanan,Sales Manager,1993-10-17,London,UK,Steven Buchanan,Federal Shipping,(503) 555-9931
2,4,30,GOURL,10652,25.89,2,0.25,38.84,1997-09-01,1997-09-29,1997-09-08,7.14,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,true,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,BRAZIL,(11) 555-9482,,8,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,true,Seafood,Seaweed and fish,,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,United Package,(503) 555-3199
