shipper_id,employee_id,product_id,customer_id,order_id,prix_unitaire,quantite,discount,sous_total,order_date,required_date,shipped_date,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,is_shipped,customer_company_name,customer_contact_name,customer_contact_title,customer_address,customer_city,customer_region,customer_postal_code,customer_country,customer_phone,customer_fax,category_id,product_name,supplier_id,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,en_stock,category_name,category_description,picture,employee_first_name,employee_last_name,employee_title,employee_hire_date,employee_city,employee_country,employee_full_name,shipper_name,shipper_phone
3,4,21,CENTC,10259,8.0,10,0.0,80.0,1996-07-18,1996-08-15,1996-07-25,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,true,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,,05022,MEXICO,(5) 555-3392,(5) 555-7293,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Federal Shipping,(503) 555-9931
2,4,21,QUEDE,10261,8.0,20,0.0,160.0,1996-07-19,1996-08-16,1996-07-30,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,true,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,BRAZIL,(21) 555-4252,(21) 555-4545,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,United Package,(503) 555-3199
3,5,21,WARTH,10333,8.0,10,0.1,72.0,1996-10-18,1996-11-15,1996-10-25,0.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,true,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,FINLAND,981-443655,981-443655,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Steven,Buchanan,Sales Manager,1993-10-17,London,UK,Steven Buchanan,Federal Shipping,(503) 555-9931
2,2,21,ERNSH,10368,8.0,5,0.1,36.0,1996-11-29,1996-12-27,1996-12-02,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,true,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,AUSTRIA,7675-3425,7675-3426,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Andrew,Fuller,"Vice President, Sales",1992-08-14,Tacoma,USA,Andrew Fuller,United Package,(503) 555-3199
1,5,21,PRINI,10397,8.0,10,0.15,68.0,1996-12-27,1997-01-24,1997-01-02,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,true,Princesa Isabel Vinhos,Isabel De Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,PORTUGAL,(1) 356-5634,,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Steven,Buchanan,Sales Manager,1993-10-17,London,UK,Steven Buchanan,Speedy Express,(503) 555-9831
1,7,21,QUEEN,10406,8.0,30,0.1,216.0,1997-01-07,1997-02-18,1997-01-13,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,true,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,BRAZIL,(11) 555-1189,,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Robert,King,Sales Representative,1994-01-02,London,UK,Robert King,Speedy Express,(503) 555-9831
1,3,21,OCEAN,10409,8.0,12,0.0,96.0,1997-01-09,1997-02-06,1997-01-14,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,true,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,ARGENTINA,(1) 135-5333,(1) 135-5535,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Janet,Leverling,Sales Representative,1992-04-01,Kirkland,USA,Janet Leverling,Speedy Express,(503) 555-9831
1,4,21,ERNSH,10430,8.0,50,0.0,400.0,1997-01-30,1997-02-13,1997-02-03,458.78,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,true,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,AUSTRIA,7675-3425,7675-3426,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Margaret,Peacock,Sales Representative,1993-05-03,Redmond,USA,Margaret Peacock,Speedy Express,(503) 555-9831
2,8,21,KOENE,10456,8.0,40,0.15,272.0,1997-02-25,1997-04-08,1997-02-28,8.12,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,true,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,GERMANY,0555-09876,,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Laura,Callahan,Inside Sales Coordinator,1994-03-05,Seattle,USA,Laura Callahan,United Package,(503) 555-3199
3,1,21,LILAS,10461,8.0,40,0.25,240.0,1997-02-28,1997-03-28,1997-03-05,148.61,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,true,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,VENEZUELA,(9) 331-6954,(9) 331-7256,3,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,true,Confections,"Desserts, candies, and sweet breads",,Nancy,Davolio,Sales Representative,1992-05-01,Seattle,USA,Nancy Davolio,Federal Shipping,(503) 555-9931
